"id","FIO","link","PART1","№ OVO","LIST №","AGE","GROUP_AGE","EDUCATION","CRIMINAL","PART2","PART2_corr","POSITION","INCOME_TOTAL","INCOME_FAMILY","INCOME_FAVORITE","LAND_QTY","LAND_SQ","APPARTMENTS_QTY","APPARTMENTS_SQ","APPARTMENTS_QTY_FAMILY","APPARTMENTS_SQ_FAMILY","LAND_QTY_FAMILY","LAND_SQ_FAMILY","AVTO_QTY","AVTO_MARK","AVTO_MODEL","AVTO_YEAR","AVTO_QTY_FAMILY","AVTO_MARK_FAMILY","AVTO_MODEL_FAMILY","AVTO_YEAR_FAMILY","DECLARATION_DONE","GENDER","OTHER_ACTIVES","OTHER_ACTIVES_FAMILY"
151,"Бєлікова Марина Георгіївна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=151","Молодіжна партія України",96,,23,"<25","вища","відсутня","безпартійн","безпартійний","фахівець відділу виховної роботи",8400,0,6,0,0,0,0,0,0,0,0,0,,,2012,0,,,0,9/5/2012 12:26,"Ч",0,0
81,"Бєлогорцев Дмитро Альбертович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=81","Самовисування",225,,49,"45+","вища","відсутня","безпартійн","безпартійний","тимчасово не працює",0,0,0,0,0,1,59,1,59,0,0,0,,,2012,0,,,0,9/4/2012 17:35,"Ч",0,0
1465,"Бєлоножко Олег Вячеславович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1465","політична партія Всеукраїнське об’єднання ""Батьківщина""",,201,39,"35-44","вища","відсутня","член політичної партії Всеукраїнське об’єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","приватний підприємець",167612,507576,17,1,1000,1,68,0,0,0,0,1,"Toyota","Aurion",2007,0,,,0,9/6/2012 15:12,"Ч",0,0
3295,"Билінська Олена Олександрівна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=3295","Самовисування",222,,49,"45+","вища","відсутня","безпартійн","безпартійний","голова правління",49845,11560,6,0,0,2,135,2,135,0,0,1,"Honda","Accord",2007,0,,,0,9/13/2012 11:10,"Ч",0,0
17,"Биструшкін Ярослав Олександрович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=17","Самовисування",213,,35,"35-44","вища","відсутня","безпартійн","безпартійний","старший викладач",94237,0,17,0,0,0,0,0,0,0,0,2,"Porsche","Cayene",2008,0,,,0,9/3/2012 15:18,"Ч",0,0
1062,"Биткова Ніна Євгеніївна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1062","Партія ""Віче""",8,,51,"45+","середня спеціальна","відсутня","безпартійн","безпартійний","завідуюча",33125,18962,6,2,21600,0,0,1,51,2,21700,0,,,2012,0,,,0,9/10/2012 16:08,"Ж",0,0
1734,"Бичковський Юрій Олегович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1734","Самовисування",183,,54,"45+","вища","відсутня","безпартійн","безпартійний","генеральний директор",348939,9600,17,0,0,0,0,2,73,0,0,1,"ЗАЗ","Таврия-Пикап",2004,1,"ЗАЗ","Таврия-Фургон",2000,9/16/2012 15:49,"Ч",0,0
385,"Бідьовка Володимир Анатолійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=385","Комуністична партія України",,18,31,"25-34","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","другий секретар Донецького обласного комітету Компартії України",44630,0,6,0,0,1,67,0,0,0,0,2,"ЗАЗ",,2011,0,,,0,9/6/2012 11:12,"Ч",18500,0
1782,"Білак Іван Іванович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1782","Партія регіонів",120,,58,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","голова Самбірської районної державної адміністрації",41187,68158,6,4,21712,0,0,1,61,4,20670,0,,,2012,1,"Volkswagen",,2003,9/17/2012 10:53,"Ч",0,30000
294,"Білан Андрій Вікторович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=294","Комуністична партія України",,111,34,"25-34","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","перший секретар Калінінського районного комітету Компартії України міста Донецька",27620,0,6,0,0,1,46,0,0,0,0,3,"ЗАЗ","TF698к",2011,0,,,0,9/5/2012 19:55,"Ч",0,0
706,"Білаш Михайло Федорович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=706","Комуністична партія України",167,,75,"45+","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","пенсіонер",16909,11224,6,1,700,0,0,0,0,0,0,1,,"Таврия Славута",2007,0,,,0,9/7/2012 12:50,"Ч",10149,0
915,"Біленко Олександр Григорійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=915","Самовисування",43,,57,"45+","середня спеціальна","відсутня","безпартійн","безпартійний","тимчасово не працює",392,31125,6,0,0,0,0,1,149,0,0,0,,,2012,1,,"БУД",2007,9/10/2012 10:44,"Ч",0,0
80,"Білий Віктор Павлович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=80","Самовисування",135,,72,"45+","середня","відсутня","безпартійн","безпартійний","пенсіонер",36454,0,6,0,0,0,0,0,0,0,0,0,,,2012,0,,,0,9/4/2012 17:34,"Ч",0,0
1422,"Білий Олексій Петрович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1422","Партія регіонів",58,,51,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","народний депутат України",245275,69184,6,1,1000,0,0,2,896,1,2151,0,,,2012,0,,,0,9/13/2012 16:10,"Ч",60959,143084
1148,"Білик Яна Вячеславівна","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1148","Політична партія ""Зелені""",,48,32,"25-34","вища","відсутня","член Політичної партії ""Зелені""","член Політичної партії ""Зелені""","шеф-редактор",4000,0,5,0,0,1,51,0,0,0,0,0,,,2012,0,,,0,9/11/2012 10:32,"Ж",0,0
1817,"Біловол Олександр Миколайович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1817","Партія регіонів",180,,50,"45+","вища","відсутня","член Партії регіонів","член Партії регіонів","професор",731322,41656,16,1,5509,1,349,2,928,1,5532,1,"ГАЗ",21,1969,0,,,0,9/17/2012 13:24,"Ч",285,118
1142,"Біловський Роман Леонідович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1142","Політична партія ""Зелені""",,42,33,"25-34","вища","відсутня","член Політичної партії ""Зелені""","член Політичної партії ""Зелені""","директор",18000,72000,6,0,0,0,0,1,56,0,0,0,,,2012,0,,,0,9/11/2012 14:26,"Ч",0,0
923,"Білогрищенко Андрій Іванович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=923","Самовисування",169,,47,"45+","вища","відсутня","безпартійн","безпартійний","президент",581100,36890,6,1,180000,2,137,1,33,0,0,1,"Mazda",,2004,0,,,0,9/10/2012 11:28,"Ч",56000,0
1275,"Благодир Юрій Анатолійович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1275","Партія регіонів",,78,38,"35-44","вища","відсутня","безпартійн","безпартійний","радник Голови Верховної Ради України",183703,3300,6,1,1100,1,310,1,106,0,0,0,,,2012,1,"Infiniti","EX35",2008,9/12/2012 12:03,"Ч",0,0
1647,"Білорус Олег Григорович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=1647","політична партія Всеукраїнське об’єднання ""Батьківщина""",,122,73,"45+","вища","відсутня","член політичної партії Всеукраїнське об’єднання ""Батьківщина""","член політичної партії Всеукраїнське об'єднання ""Батьківщина""","народний депутат України",579315,8889,6,4,10325,1,85,2,178,3,8529,2,"Suzuki",,2007,0,,,0,9/14/2012 16:30,"Ч",92889,20000
292,"Білоус Віктор Петрович","www.cvk.gov.ua/pls/vnd2012/WP407?pt001f01=900&pf7201=292","Комуністична партія України",,109,64,"45+","вища","відсутня","член Комуністичної партії України","член Комуністичної партії України","електромеханік",48750,61234,6,1,600,0,0,1,69,0,0,1,"ЗАЗ",,2005,0,,,0,9/5/2012 17:55,"Ч",0,0
